Classement;Nom;Adresse;Ville;CodePostal;Couriel;Siteweb
3 étoiles;COMFORT HOTEL LILLE EUROPE;53 rue Chrispohe COLOMB ;LILLE;59000;comfort.lille@lhg-hotels.com;http://www.choicehotels.fr/
2 étoiles;HÔTEL B&B CALAIS CENTRE SAINT-PIERRE;55 rue de Lille;CALAIS;62100;bb_4221@hotelbb.com;www.hotelbb.com
2 étoiles;HÔTEL LES 3 LUPPARS;49 Grand Place;ARRAS;62000;contact.3luppars@wanadoo.fr;http://www.hotel-les3luppars.com/
3 étoiles;HOSTELLERIE SAINT VINCENT;241 rue de clermont;BEAUVAIS;60000;h.st.vincent@wanadoo.fr;www.stvincent-beauvais.com
5 étoiles;L'HERMITAGE GANTOIS;224 rue de paris;LILLE;59000;reservation@gantoislille.com;www.hotelhermitagegantois.com
2 étoiles;HÔTEL DE FRANCE;2 PLACE DU Général DE GAULLE;LENS;62300;hoteldefrancelens@laposte.net;-
3 étoiles;HÔTEL KYRIAD SAINT-QUENTIN;Zone du bois de la chocque, 1 avenue archimade;SAINT-QUENTIN;2100;contact@kyriad-saintquentin.fr;http://www.hotel-kyriad-saint-quentin.fr/
2 étoiles;HÔTEL BALLADINS CALAIS;126 RUE SALVADOR ALLENDE;CALAIS;62100;calais@balladins.eu;www.balladins.com
3 étoiles;HÔTEL IBIS STYLES LILLE CENTRE GRAND PLACE;28 RUE ANATOLE FRANCE;LILLE;59000;H9420@accor.com;www.ibis.com
3 étoiles;HÔTEL DE LA CATHEDRALE;11-13 rue Chambiges;BEAUVAIS;60000;hotelacathedrale60@gmail.com;http://hoteldelacathedrale.fr/
3 étoiles;HÔTEL DE LA PAIX;46 bis rue de Paris;LILLE;59000;hotelpaixlille@aol.com;www.hotel-la-paix.com
3 étoiles;CAMPING MUNICIPAL LES TROIS CLOCHERS;77 rue Jean Goude;CAMBRAI;59400;camping@mairie-cambrai.fr;-
3 étoiles;RESIDENCE AMIENS;80 boulevard d'Alsace Lorraine;AMIENS;80000;amiens-gare@appartcity.com;www.appartcity.com
2 étoiles;HÔTEL LE BRISTOL;2 Avenue du Marechal de Lattre de Tassigny;VALENCIENNES;59300;Hotel-le-bristol@hotmail.fr;http://le-bristol-hotel.com/
2 étoiles;HÔTEL B&B CREIL CHANTILLY;ZAC du Bois des Fenètres, 53 rue Rouget de Lisle;CREIL;60100;bb_4509@hotelbb.com;www.hotelbb.com
2 étoiles;HÔTEL ASTORIA CARNOT;10-12 Place Foch ;ARRAS;62000;contact@hotelcarnot.com;http://www.hotelcarnot.com/
2 étoiles;VICTOR HÔTEL;15 place Jeanne Hachette;BEAUVAIS;60000;victor.beauvais@orange.fr;-
2 étoiles;HÔTEL DU PALAIS BLEU;9 rue Saint-Nicolas	;BEAUVAIS;60000;hoteldupalaisbleu@wanadoo.fr;http://www.hoteldupalaisbeauvais.com/
2 étoiles;HÔTEL B&B ARRAS;PARC DES BONNETTES, RUE DE LA SYMPHORINE;ARRAS;62000;bb_4517@hotelbb.com;www.hotelbb.com
3 étoiles;HÔTEL BELAZUR;23 place d'armes;CALAIS;62100;belazur@orange.fr;-
2 étoiles;HÔTEL B&B SAINT-QUENTIN;Rue Antoine Auguste Parmentier, Zone d'Aménagement Concerte de la Vallée;SAINT-QUENTIN;2100;bb_4251@hotelbb.com;www.hotelbb.com
1 étoile;HÔTEL PREMIERE CLASSE LILLE NORD TOURCOING;401 BOULEVARD GAMBETTA;TOURCOING;59200;lille.tourcoing@premiereclasse.fr;http://www.premiereclasse.com/
5 étoiles;HÔTEL MAROTTE;3 rue marotte;AMIENS;80000;contact@hotel-marotte.com;www.hotel-marotte.com
3 étoiles;HÔTEL HAMIOT;1 RUE FAIDHERBE ;BOULOGNE-SUR-MER;62200;hotelrestauranthamiot@wanadoo.fr;http://www.hotelhamiot.fr
2 étoiles;HÔTEL B&B LILLE CENTRE GRAND PALAIS;Rue Berthe Morisot;LILLE;59000;bb_4514@hotelbb.com;http://www.hotel-bb.com/
2 étoiles;HÔTEL B&B DUNKERQUE CENTRE GARE;15 RUE DE BELLE VUE;DUNKERQUE;59140;bb_4530@hotelbb.com;http://www.hotel-bb.com/
2 étoiles;HÔTEL B&B LILLE TOURCOING CENTRE;83 RUE DE TOURNAI;TOURCOING;59200;bb_4523@hotelbb.com;http://www.hotel-bb.com/
4 étoiles;BEST WESTERN PREMIER WHY HOTEL ;7 Bis Square Morisson ;LILLE;59000;reservation@why-hotel.com;www.why-hotel.com
3 étoiles;CITADINES CITY CENTRE LILLE;Avenue Willy Brandt - Euralille;LILLE;59000;lille@citadines.com;www.citadines.com
1 étoile;HÔTEL PARIS BREST;68 rue de la gare ;LENS;62300;info@hotelparisbrest.com;www.hotelparisbrest.com
3 étoiles;RESIDHOME DU THEATRE;90 boulevard Harpignies;VALENCIENNES;59300;valenciennes.theatre@residhome.com;www.residhome.com
3 étoiles;HOTEL B&B LILLE STADE PIERRE MAUROY;Boulevard de Tournai;VILLENEUVE-D'ASCQ;59491;bb_4539@hotelbb.com;http://www.hotel-bb.com
4 étoiles;MERCURE LILLE ROUBAIX GRAND HÔTEL;22 AVENUE JEAN LEBAS;ROUBAIX;59100;h7951-gm@accor.com;http://www.mercure.com
4 étoiles;PARK INN BY RADISSON LILLE GRAND STADE;211 BOULEVARD DE TOURNAI;VILLENEUVE-D'ASCQ;59491;RESERVATIONS.LILLE@REZIDORPARKINN.COM;http://www.parkinn.com/hotel-lille
4 étoiles;HÔTEL D'ANGLETERRE;7 PLACE FOCH;ARRAS;62000;info@hotelangleterre.info;www.hotelangleterre.info
3 étoiles;VOLUBILIS;Boulevard Vauban;DOUAI;59500;contact@hotel-volubilis.fr;www.hotel-volubilis.fr
2 étoiles;SEJOURS & AFFAIRES LILLE EUROPE;271 Avenue Willy Brandt;LILLE;59000;lille.europe@sejours-affaires.com;www.sejours-affaires.com
3 étoiles;HÔTEL BRUEGHEL;5 PARVIS SAINT MAURICE;LILLE;59000;hotel.brueghel@nordnet.fr;http://www.hotel-brueghel-lille.com
2 étoiles;HÔTEL DIAMANT;5, place des Héros;ARRAS;62000;info@arras-hotel-diamant.com;www.arras-hotel-diamant.com
2 étoiles;HÔTEL ALSACE LORRAINE CONTACT HÔTEL;18, rue de la Morlière ;AMIENS;80000;alsace.lorraine@wanadoo.fr;www.hotelalsacelorraine.fr
3 étoiles;OPAL'INN;168-170 Boulevard Sainte Beuve;BOULOGNE-SUR-MER;62200;reservation@hotel-opalinn.com;-
1 étoile;HÔTEL COQ HARDI;34 place de la gare;LILLE;59000;hotel.coq.hardi@gmail.com;-
2 étoiles;HÔTEL DU CYGNE;24 RUE Carnot;BEAUVAIS;60000;hotelducygne.beauvais@wanadoo.fr;-
3 étoiles;HÔTEL MORPHEE;35 rue de la Cousinerie;VILLENEUVE-D'ASCQ;59491;b.mullet@hotel-morphee.com;http://www.hotel-morphee.com
2 étoiles;HÔTEL AU SLEEPING;18 BOULEVARD DAUNOU;BOULOGNE-SUR-MER;62200;contact@hotel-sleeping.com;http://ausleeping@orange.fr
3 étoiles;IBIS STYLES CALAIS CENTRE;46 RUE ROYALE;CALAIS;62100;h7209-gm@accor.com;www.all-seasons-hotels.com
3 étoiles;LE MOUTON BLANC;33 RUE ALSACE LORRAINE;CAMBRAI;59400;RESAMOUTON@ORANGE.FR;-
4 étoiles;MERCURE VALENCIENNES CENTRE;5 RUE DU SAINT-CORDON;VALENCIENNES;59300;H8576@ACCOR.COM;http://www.mercure.com/fr/hotel-8576-mercure-valenciennes-centre/services.shtml
3 étoiles;HÔTEL KANAI;10 rue de béthune;LILLE;59000;reception@hotelkanai.com;www.hotelkanai.com
2 étoiles;HÔTEL LES GENS DE MER;QUAI CHANZY;BOULOGNE-SUR-MER;62200;agismboulogne@wanadoo.fr;http://www.lesgensdemer.fr/
2 étoiles;HÔTEL RESTAURANT EOLE ;77 digue de mer;DUNKERQUE;59140;eole@hoteleole.fr;http://hoteleole.fr/
2 étoiles;HÔTEL DE LA PLAGE;19 avenue du casino;DUNKERQUE;59140;contact@hoteldunkerque.fr;http://www.hoteldunkerque.fr
3 étoiles;OLIVARIUS APART'HÔTEL;6 Avenue Halley;VILLENEUVE D'ASCQ;59491;welcome@olivarius.com;www.olivarius-lille.com
3 étoiles;HÔTEL RESTAURANT LE WELCOME;37 rue Raymond Poincart;DUNKERQUE;59140;contact@hotel-welcome.fr;http://www.hotel-welcome.fr/
3 étoiles;CHATEAU DE LA MOTTE FENELON;SQUARE DU CHATEAU;CAMBRAI;59400;contact@cambrai-chateau-motte-fenelon.com;http://cambrai-chateau-motte-fenelon.com
2 étoiles;BEST HOTEL NOROTEL;66 rue littré;LILLE;59000;lille@besthotel.fr;http://www.besthotel.fr/Lille/
3 étoiles;MERCURE BEAUVAIS;21 avenue Montaigne;BEAUVAIS;60000;h0350@accor.com;www.mercure.com
2 étoiles;HÔTEL DE NORMANDIE;1 bis rue Lamartine;AMIENS;80000;normandie.hotel@wanadoo.fr;http://www.hotelnormandie-80.com
1 étoile;F1 BEAUVAIS;23 AVENUE MONTAIGNE;BEAUVAIS;60000;H2225-RE@ACCOR.COM;http://WWW.HOTELF1.COM
4 étoiles;HÔTEL RESTAURANT LA MATELOTE;80 boulevard Sainte-Beuve;BOULOGNE-SUR-MER;62200;infos@la-matelote.com;http://www.la-matelote.com
3 étoiles;CITY HÔTEL;3 RUE ANTONIO DE HOJAS;BEAUVAIS;60000;mnblain@gmail.com;http://www.cityhotel.fr
3 étoiles; IBIS DUNKERQUE CENTRE;13 rue du Leughenaer;DUNKERQUE;59140;h6546@accor.com;http://www.accorhotels.com/fr/hotel-6546-ibis-dunkerque-centre/index.shtml
2 étoiles;BALLADINS VALENCIENNES AEROPORT;2 rue Louis DACQUINS;VALENCIENNES;59300;valenciennes.aeroport@balladins.com;http://www.balladins.com
3 étoiles;HÔTEL LE CARLTON;42 rue de Noyon;AMIENS;80000;reservation@lecarlton.fr;http://www.lecarlton.fr/
3 étoiles;CHENAL HÔTEL;63 boulevard du Général de Gaulle;BEAUVAIS;60000;chenalhotel@free.fr;www.chenalhotel.fr
3 étoiles;COTTAGE HÔTEL CALAIS;648 rue de tunis;CALAIS;62100;cottagehotel@wanadoo.fr;www.cottagehotel-calais.com
3 étoiles;HÔTEL METROPOLE;51 RUE ADOLPHE THIERS;BOULOGNE-SUR-MER;62200;hotel.metropole@orange.fr;http://hotel-metropole-boulogne.com
2 étoiles;HÔTEL DE LA RESIDENCE;24 rue Louis Borel ;BEAUVAIS;60000;contact@hotellaresidence.fr;www.hotellaresidence.fr
3 étoiles;HÔTEL DE  LA TREILLE;7 Place Louise de Bettignies;LILLE;59000;contact@hoteldelatreille.com;www.hoteldelatreille.com
3 étoiles;HÔTEL KYRIAD LILLE EST VILLENEUVE-D'ASCQ;15 allée de la Créativité;VILLENEUVE-D'ASCQ;59491;lille.vda@kyriad.fr;-
2 étoiles;HÔTEL CONTINENTAL;11 PLACE DE LA GARE;LILLE;59000;hcontinent@wanadoo.fr;www.hotel-continental.fr
2 étoiles;IBIS BUDGET LILLE MARCQ EN BAROEUL;340 AVENUE DE LA MARNE;MARCQ-EN-BAROEUL;59700;HA3N4@accor.com;http://www.ibis.com
2 étoiles;BELLE ETOILE HÔTEL MISTER BED CITY;passage 57 RUE DE BETHUNE;LILLE;59000;misterbed.lille@hotmail.fr;http://hebergement-lille.net
1 étoile;HÔTEL FAIDHERBE;42 place de la gare;LILLE;59000;hotelfaidherbe@orange.fr;www.hotel-faidherbe-lille.fr 
4 étoiles;CAMPING PARC DES CYGNES;111 avenue des cygnes;AMIENS;80000;alban@parcdescygnes.com;www.parcdescygnes.com
2 étoiles;IBIS BUDGET  BOULOGNE-SUR-MER CENTRE LES PORTS;2 bis boulevard Daunou;BOULOGNE-SUR-MER;62200;H3486@ACCOR.COM;ETAPHOTEL.COM
2 étoiles;HÔTEL DE LONDRES;22 place de France;BOULOGNE-SUR-MER;62200;hoteldelondres62@gmail.com;http://www.hotel-delondres.com/
3 étoiles;CAMPANILE AMIENS CENTRE;29-33 RUE PAUL TELLIER;AMIENS;80000;manager.amiens.centre@campanile.fr;http://www.campanile.fr
2 étoiles;LE CITADEL HÔTEL;28 RUE ROYALE;CALAIS;62100;hotelpacific-calais@wanadoo.fr;www.hotelpacific-calais.com
4 étoiles;HÔTEL UP;17 PLACE DES REIGNAUX;LILLE;59000;reception@hotelup.fr;www.hotelup.fr
2 étoiles;HÔTEL PACIFIC;40 RUE DU DUC DE GUISE;CALAIS;62100;hotelpacific-calais@wanadoo.fr;www.hotelpacific-calais.com
3 étoiles;LA TERRASSE;36 terrasse saint-pierre ;DOUAI;59500;contact@laterrasse.fr;www.laterrasse.fr
3 étoiles;KYRIAD AMIENS;RUE LE GRECO;AMIENS ;80000;kyriad.amiens@shfrance.com;www.kyriad.fr
2 étoiles;CRYSTAL HÔTEL;1 rue de la deuxième DB;AMIENS;80000;hotel.lecrystal@wanadoo.fr;http://www.hotel-lecrystal.com
3 étoiles;CAMPING MUNICIPAL DE LA LICORNE;1005 boulevard de l'Europe;DUNKERQUE;59140;contact@campingdelalicorne.com;http://campingdelalicorne.com
2 étoiles;HÔTEL LE FLORENCE;42 rue émile Zola;SAINT-QUENTIN;2100;leflorence@wanadoo.fr;http://www.hotel-le-florence.fr/
3 étoiles;CAMPANILE;16 AVENUE DESCARTES;BEAUVAIS;60000;manager.beauvais@campanile.fr;http://www.campanile-beauvais.fr
3 étoiles;HÔTEL MEMORIAL;8 rue de la comédie;SAINT-QUENTIN;2100;contact@hotel-memorial.com;www.hotel-memorial.com
3 étoiles;HÔTEL IBIS SAINT-QUENTIN;14 PLACE DE LA BASILIQUE;SAINT-QUENTIN;2100;h1641-gm@accor.com;http://www.ibishotel.com
2 étoiles;HÔTEL DE LONDRES;16 place de la gare;LILLE;59000;hoteldelondres@yahoo.fr;www.hoteldelondres.fr
3 étoiles;HÔTEL BEATUS;718 avenue de paris;CAMBRAI;59400;hotel.beatus@wanadoo.fr;www.beatus-cambrai.com
4 étoiles;HÔTEL ALLIANCE COUVENT DES MINIMES;17 QUAI DU WAULT B.P 133;LILLE;59000;remy.fenart@alliance-couventdesminimes.com;http://www.alliance-lille.com
3 étoiles;METROPOL'HÔTEL;45 QUAI DU RHIN;CALAIS;62100;metropol@metropolhotel.com;www.metropolhotel.com
3 étoiles;HOLIDAY INN EXPRESS ARRAS;3 Rue du Docteur Brassart;ARRAS;62000;c-h.ansart@hiexpress-arras.com;http://www.holidayinn-arras.com
2 étoiles;HÔTEL FLANDRE ANGLETERRE;13 Place de la gare;LILLE;59000;mosude@hotmail.com;http://www.hotel-flandre-angleterre.fr
3 étoiles;HÔTEL BOLLAERT;13 c route de béthune;LENS;62300;bruno.parrain@nordnet.fr;http://www.espace-bollaert.fr
3 étoiles;IBIS BOULOGNE CENTRE LES PORTS;11 boulevard diderot;BOULOGNE-SUR-MER;62200;H0602-GM@ACCOR.COM;http://www.ibishotel.com/fr/hotel-0602-ibis-boulogne-sur-mer-centre-les-ports/index.shtml
2 étoiles;HOTEL STARS;7 rue entre-deux-villes;VILLENEUVE-D'ASCQ;59491;stars-lille@jjwhotels.com;http://lille.starshotels.com/
3 étoiles;HÔTEL LE PRIEURE;17 rue porion;AMIENS;80000;mathilde.eymin@gmail.com;http://www.hotel-prieure-amiens.com/hotel-amiens
3 étoiles;HÔTEL IBIS AMIENS CENTRE CATHEDRALE;4 rue du Maréchal De Lattre De Tassigny;AMIENS;80000;H0480-GM@accor.com;http://www.ibishotel.com
3 étoiles;HÔTEL IBIS BEAUVAIS;1 rue Jacques Goddet;BEAUVAIS;60000;h6889@accor.com;http://www.ibishotel.com
3 étoiles;HÔTEL LILLE EUROPE;AVENUE LE CORBUSIER;LILLE;59000;maryse.felix@wanadoo.fr;http://hotel-lille-europe.com
2 étoiles;HÔTEL NOTRE DAME;1 place Abbé Thellier de Poncheville;VALENCIENNES;59300;hotel.notredame@wanadoo.fr;http://www.hotel-valenciennes-notredame.com
3 étoiles;HÔTEL LE CHAT BOTTE;25 rue Tholozé;VALENCIENNES;59300;hotel.lechatbotte@wanadoo.fr;http://www.hotel-lechatbotte.com/
2 étoiles;HÔTEL CENTRAL ANZAC;17 rue Alexandre Fatton;AMIENS;80000;hotel-central2@wanadoo.fr;www.hotelcentralanzac.com
3 étoiles;HÔTEL RESTAURANT CAMPANILE;ZAC de la Vallée, rue Charles Naudin;SAINT-QUENTIN;2100;manager.stquentin@campanile.fr;http://www.campanile-saint-quentin.fr/
2 étoiles;LA FERME DE VAUX;11-19 route de vaux;CREIL;60100;lafermdedevaux@orange.fr;www.la-ferme-de-vaux.com
2 étoiles;HÔTEL L'HIRONDELLE;46 avenue faidherbe;DUNKERQUE;59140;info@hotelhirondelle.com;http://www.hotelhirondelle.com
2 étoiles;HÔTEL NAPOLEON;17 place de la gare;LILLE;59000;martine.lepetz@wanadoo.fr;http://hotel-napoleon-lille.com
3 étoiles;ASCOTEL LILLE METROPOLE;7 Avenue Paul Langevin;VILLENEUVE D'ASCQ;59491;complexe@ascotel.fr;http://ascotel.fr
3 étoiles;URBAN HÔTEL & SPA;48 BIS RUE DE VALENCIENNES;LILLE;59000;reception@urbanhotel.fr;http://www.urbanhotel.fr/
